Date,ML_Prediction,Confidence,TA_Signal,Hybrid_Signal,Portfolio_Value,Daily_Return,Close
2022-07-07,1,0.6181972412204009,0,0,95905.58839172084,0.014964587965241805,3902.6201171875
2022-07-08,1,0.6297158117627979,0,0,95825.96071212864,-0.0008302715298191821,3899.3798828125
2022-07-11,1,0.4826161400148967,0,0,94721.33064671901,-0.011527461422777163,3854.429931640625
2022-07-12,1,0.7336289526827942,0,0,93845.73815427742,-0.009243878717321574,3818.800048828125
2022-07-13,1,0.6333020641026559,0,0,93427.47684813742,-0.0044569025122099815,3801.780029296875
2022-07-14,1,0.4996406289364886,0,0,93147.32204866805,-0.00299863390215227,3790.3798828125
2022-07-15,-1,0.4165385602586059,0,0,94935.86700648828,0.01920124935943668,3863.159912109375
2022-07-18,-1,0.49922568775064324,0,0,94141.86408719122,-0.008363571580831342,3830.85009765625
2022-07-19,1,0.7680645035414948,0,1,96742.84296428644,0.02762829164595959,3936.68994140625
2022-07-20,0,0.5951036355029694,0,0,97313.22001698916,0.005895806193263242,3959.89990234375
2022-07-21,0,0.6753634237538544,0,0,98272.8619491088,0.00986137270919718,3998.949951171875
2022-07-22,1,0.5041317549601669,0,0,97355.73371029766,-0.00933246697634682,3961.6298828125
2022-07-25,1,0.7697751674666042,0,1,97483.7727632043,0.001315167047968968,3966.840087890625
2022-07-26,1,0.4096845645827054,0,0,96358.49781793656,-0.01154320266205866,3921.050048828125
2022-07-27,1,0.6684917231947596,0,0,98878.87706817512,0.026156273782937722,4023.610107421875
2022-07-28,-1,0.39400193835942054,0,0,100078.6079736402,0.012133338697180918,4072.429931640625
2022-07-29,0,0.5964843958463871,0,0,100078.6079736402,0.0,4130.2900390625
2022-08-01,1,0.3960258830075226,1,1,100078.6079736402,0.0,4118.6298828125
2022-08-02,1,0.4872071999150537,1,1,99411.84470115587,-0.006662395550705025,4091.18994140625
2022-08-03,1,0.7723056329361002,1,1,100966.49456426053,0.015638477163140152,4155.169921875
2022-08-04,-1,0.5878021550740353,1,1,100888.00925281181,-0.0007773401640557287,4151.93994140625
2022-08-05,1,0.551870179306782,1,1,100723.9909692945,-0.0016257460597355333,4145.18994140625
2022-08-08,-1,0.5877814957765477,1,1,100599.33992136097,-0.0012375507238541195,4140.06005859375
2022-08-09,1,0.47502029680215196,1,1,100171.92422073682,-0.004248692893594086,4122.47021484375
2022-08-10,1,0.5226039705831245,1,1,102304.64836115131,0.021290637641290244,4210.240234375
2022-08-11,-1,0.6539132928904836,1,1,102232.47509591434,-0.000705473958350189,4207.27001953125
2022-08-12,1,0.4363974439596974,1,1,104003.3837302625,0.017322368774566943,4280.14990234375
2022-08-15,1,0.45516144160442285,1,1,104416.22951970615,0.0039695418998517695,4297.14013671875
2022-08-16,0,0.36915388564069707,1,1,104612.08092349813,0.0018756797165810912,4305.2001953125
2022-08-17,-1,0.4952035780692189,1,1,103854.9201320527,-0.00723779495409449,4274.0400390625
2022-08-18,-1,0.5503959076699099,1,1,104090.62522611774,0.002269561170191503,4283.740234375
2022-08-19,1,0.420070846258406,1,1,102747.85604205335,-0.012900001139847905,4228.47998046875
2022-08-22,1,0.6647279286566536,0,0,100549.04525239179,-0.0214000649197158,4137.990234375
